ID,Type,On,Off
S1008,EMG,9:51:33,9:51:33
S1008,EMG,9:51:43,9:51:43
S1008,EMG,9:51:44,9:51:44
S1008,EMG,9:51:57,9:51:59
S1008,EMG,9:52:02,9:52:02
S1008,EMG,9:52:03,9:52:04
S1008,EMG,9:52:07,9:52:11
S1008,EMG,9:52:18,9:52:18
S1008,EMG,9:52:26,9:52:28
S1008,EMG,9:52:29,9:52:29
S1008,EMG,9:52:30,9:52:32
S1008,EMG,9:52:42,9:52:51
S1009,tGUI,9:41:39,9:41:46
S1009,tGUI,9:48:39,9:49:04
S1009,tGUI,9:51:09,9:53:39
S1009,EMG,8:32:24,8:32:24
S1009,EMG,8:35:05,8:35:05
S1009,EMG,8:35:12,8:35:14
S1009,EMG,8:38:02,8:38:05
S1009,EMG,8:38:55,8:38:55
S1009,EMG,8:39:50,8:39:51
S1009,EMG,8:39:54,8:39:58
S1009,EMG,8:39:59,8:40:02
S1009,EMG,8:40:03,8:40:04
S1009,EMG,8:41:53,8:41:54
S1009,EMG,8:43:04,8:43:06
S1009,EMG,8:43:22,8:43:23
S1009,EMG,8:45:12,8:45:14
S1009,EMG,8:45:19,8:45:22
S1009,EMG,8:45:27,8:45:28
S1009,EMG,8:53:59,8:54:02
S1009,EMG,9:08:09,9:08:09
S1009,EMG,9:52:12,9:52:12
S1009,EMG,9:53:42,9:53:47
S1009,EMG,9:53:56,9:54:02
S1009,EMG,9:54:04,9:54:15
S1009,EMG,9:54:18,9:54:20
S1009,EMG,9:54:21,9:54:22
S1009,EMG,9:54:34,9:54:34
S1009,EMG,9:54:40,9:54:41
S1010,tGUI,9:03:52,9:04:04
S1010,tGUI,9:04:35,9:04:39
S1010,tGUI,9:06:24,9:06:46
S1010,tGUI,9:07:52,9:07:54
S1010,tGUI,9:08:22,9:08:34
S1010,tGUI,9:09:22,9:09:30
S1010,tGUI,9:11:30,9:11:35
S1010,tGUI,9:12:22,9:12:25
S1010,tGUI,9:12:52,9:12:58
S1010,tGUI,9:13:21,9:13:39
S1010,tGUI,9:13:52,9:14:12
S1010,tGUI,9:14:32,9:14:51
S1010,tGUI,9:14:52,9:15:05
S1010,tGUI,9:15:06,9:15:14
S1010,tGUI,9:15:22,9:15:31
S1010,tGUI,9:15:31,9:15:36
S1010,tGUI,9:15:36,9:15:46
S1010,tGUI,9:15:52,9:15:53
S1010,tGUI,9:16:07,9:16:08
S1010,tGUI,9:16:22,9:16:23
S1010,tGUI,9:16:23,9:16:27
S1010,tGUI,9:16:27,9:16:35
S1010,tGUI,9:16:35,9:16:43
S1010,tGUI,9:16:52,9:16:55
S1010,tGUI,9:16:55,9:16:56
S1010,tGUI,9:16:56,9:17:04
S1010,tGUI,9:17:05,9:17:15
S1010,tGUI,9:17:22,9:17:26
S1010,tGUI,9:17:27,9:17:28
S1010,tGUI,9:17:29,9:17:32
S1010,tGUI,9:17:32,9:17:38
S1010,tGUI,9:17:42,9:17:44
S1010,tGUI,9:17:52,9:17:57
S1010,tGUI,9:17:58,9:17:59
S1010,tGUI,9:17:59,9:18:05
S1010,tGUI,9:18:05,9:18:08
S1010,tGUI,9:18:09,9:18:14
S1010,tGUI,9:18:22,9:18:22
S1010,tGUI,9:18:23,9:18:27
S1010,tGUI,9:18:28,9:18:31
S1010,tGUI,9:18:32,9:18:50
S1010,tGUI,9:18:51,9:19:14
S1010,tGUI,9:19:15,9:19:19
S1010,tGUI,9:19:22,9:19:40
S1010,tGUI,9:19:41,9:19:44
S1010,tGUI,9:19:52,9:20:10
S1010,tGUI,9:20:10,9:20:15
S1010,tGUI,9:20:16,9:20:20
S1010,tGUI,9:20:22,9:20:23
